aln	tcas	D.Symbol	D.Name	tcas_name	D.Chrom	seqnames	start	end	width	strand	product	Chrom
TcasGA2-TC000026	TcasGA2_TC000026	gnl|WGS:AAJJ|TC000026-PA	CG5466	uncharacterized protein Dmel_CG5466	TcasGA2-TC000026	chromosome 3R	CM000278.3	15892564	15910652	18089	-	hypothetical protein	3
TcasGA2-TC000027	TcasGA2_TC000027	gnl|WGS:AAJJ|TC000027-PA	Neos	neosin, isoform B	TcasGA2-TC000027	chromosome 3L	CM000278.3	15880825	15891830	11006	-	hypothetical protein	3
TcasGA2-TC000028	TcasGA2_TC000028	gnl|WGS:AAJJ|TC000028-PA	CG8635	uncharacterized protein Dmel_CG8635, isoform B	TcasGA2-TC000028	chromosome 2R	CM000278.3	15862753	15867130	4378	-	Zinc finger CCCH domain-containing protein 15 homolog-like Protein	3
TcasGA2-TC000029	TcasGA2_TC000029	gnl|WGS:AAJJ|TC000029-PA	p130CAS	p130CAS, isoform D	TcasGA2-TC000029	chromosome 3L	CM000278.3	15812190	15861457	49268	-	Breast cancer anti-estrogen resistance protein 1-like Protein	3
TcasGA2-TC000030	TcasGA2_TC000030	gnl|WGS:AAJJ|TC000030-PA	CG42455	variable nurse cells, isoform A	TcasGA2-TC000030	chromosome 3L	CM000278.3	15796342	15797489	1148	+	N-alpha-acetyltransferase 30-like Protein	3
TcasGA2-TC000031	TcasGA2_TC000031	gnl|WGS:AAJJ|TC000031-PA	zuc	zucchini	TcasGA2-TC000031	chromosome 2L	CM000278.3	15857952	15862742	4791	+	Mitochondrial cardiolipin hydrolase-like Protein	3
TcasGA2-TC000032	TcasGA2_TC000032	gnl|WGS:AAJJ|TC000032-PA	Cdc27	cell division cycle 27, isoform B	TcasGA2-TC000032	chromosome 3L	CM000278.3	15867242	15880634	13393	+	Cell division cycle protein 27 homolog-like Protein	3
TcasGA2-TC000035	TcasGA2_TC000035	gnl|WGS:AAJJ|TC000035-PA	CG10631	uncharacterized protein Dmel_CG10631	TcasGA2-TC000035	chromosome 2L	KQ972679.1	20	1278	1259	+	hypothetical protein	NA
TcasGA2-TC000036	TcasGA2_TC000036	gnl|WGS:AAJJ|TC000036-PA	CG43366	uncharacterized protein Dmel_CG43366	TcasGA2-TC000036	chromosome 2R	KQ971735.1	3482	4375	894	+	hypothetical protein	NA
TcasGA2-TC000037	TcasGA2_TC000037	gnl|WGS:AAJJ|TC000037-PA	CG13084	uncharacterized protein Dmel_CG13084	TcasGA2-TC000037	chromosome 2L	KQ972636.1	57	242	186	+	hypothetical protein	NA
TcasGA2-TC000039	TcasGA2_TC000039	gnl|WGS:AAJJ|TC000039-PA	CG33054	uncharacterized protein Dmel_CG33054, isoform A	TcasGA2-TC000039	chromosome 3L	CM000278.3	10642945	10655101	12157	+	hypothetical protein	3
TcasGA2-TC000040	TcasGA2_TC000040	gnl|WGS:AAJJ|TC000040-PA	Pka-R1	protein kinase, cAMP-dependent, regulatory subunit type 1, isoform L	TcasGA2-TC000040	chromosome 3L	CM000278.3	10664467	10691834	27368	+	cAMP-dependent protein kinase type I regulatory subunit-like Protein	3
TcasGA2-TC000041	TcasGA2_TC000041	gnl|WGS:AAJJ|TC000041-PA	CG6700	uncharacterized protein Dmel_CG6700, isoform B	TcasGA2-TC000041	chromosome 2L	CM000278.3	10691922	10699899	7978	+	Leukocyte receptor cluster member 8 homolog-like Protein	3
TcasGA2-TC000042	TcasGA2_TC000042	gnl|WGS:AAJJ|TC000042-PA	GlnRS	Glutaminyl-tRNA synthetase	TcasGA2-TC000042	chromosome 3R	CM000278.3	10701817	10708251	6435	+	putative glutamine--tRNA ligase-like Protein	3
TcasGA2-TC000043	TcasGA2_TC000043	gnl|WGS:AAJJ|TC000043-PA	RFeSP	rieske iron-sulfur protein, isoform D	TcasGA2-TC000043	chromosome 2L	CM000278.3	10708707	10709947	1241	+	Cytochrome b-c1 complex subunit Rieske, mitochondrial-like Protein	3
TcasGA2-TC000044	TcasGA2_TC000044	gnl|WGS:AAJJ|TC000044-PA	ldbr	lariat debranching enzyme	TcasGA2-TC000044	chromosome 3L	CM000278.3	10717787	10719608	1822	+	Lariat debranching enzyme-like Protein	3
TcasGA2-TC000045	TcasGA2_TC000045	gnl|WGS:AAJJ|TC000045-PA	Usp10	ubiquitin specific protease 10, isoform C	TcasGA2-TC000045	chromosome 3L	CM000278.3	10719667	10729313	9647	+	ubiquitin-specific protease	3
TcasGA2-TC000046	TcasGA2_TC000046	gnl|WGS:AAJJ|TC000046-PA	CG34132	uncharacterized protein Dmel_CG34132	TcasGA2-TC000046	chromosome 2L	CM000278.3	10746501	10747258	758	+	Mitochondrial import inner membrane translocase subunit Tim13-like Protein	3
TcasGA2-TC000047	TcasGA2_TC000047	gnl|WGS:AAJJ|TC000047-PA	Tim23	translocase of inner mitochondrial membrane 23	TcasGA2-TC000047	chromosome 2L	CM000278.3	10750135	10751393	1259	+	Mitochondrial import inner membrane translocase subunit Tim23-like Protein	3
TcasGA2-TC000048	TcasGA2_TC000048	gnl|WGS:AAJJ|TC000048-PA	CG2310	uncharacterized protein Dmel_CG2310, isoform A	TcasGA2-TC000048	chromosome 3R	CM000278.3	10752365	10755201	2837	+	hypothetical protein	3
TcasGA2-TC000049	TcasGA2_TC000049	gnl|WGS:AAJJ|TC000049-PA	CG10948	uncharacterized protein Dmel_CG10948, isoform D	TcasGA2-TC000049	chromosome 3L	CM000278.3	10766785	10773290	6506	+	Ecto-NOX disulfide-thiol exchanger 1-like Protein	3
TcasGA2-TC000050	TcasGA2_TC000050	gnl|WGS:AAJJ|TC000050-PA	Arpc1	Actin-related protein 2/3 complex, subunit 1, isoform A	TcasGA2-TC000050	chromosome 2L	CM000278.3	10785475	10789048	3574	+	Actin-related protein 2/3 complex subunit 1A-like Protein	3
TcasGA2-TC000051	TcasGA2_TC000051	gnl|WGS:AAJJ|TC000051-PA	Dph1	diphthamide biosynthesis 1, isoform C	TcasGA2-TC000051	chromosome 3L	CM000278.3	10789105	10790506	1402	+	Diphthamide biosynthesis protein 1-like Protein	3
TcasGA2-TC000052	TcasGA2_TC000052	gnl|WGS:AAJJ|TC000052-PA	CG32085	uncharacterized protein Dmel_CG32085	TcasGA2-TC000052	chromosome 3L	CM000278.3	10792893	10800007	7115	+	F-box/LRR-repeat protein 16-like Protein	3
TcasGA2-TC000054	TcasGA2_TC000054	gnl|WGS:AAJJ|TC000054-PA	GstO3	glutathione S transferase O3	TcasGA2-TC000054	chromosome 3L	CM000278.3	10810435	10811631	1197	+	Glutathione S-transferase omega-2-like Protein	3
TcasGA2-TC000055	TcasGA2_TC000055	gnl|WGS:AAJJ|TC000055-PA	GstO3	glutathione S transferase O3	TcasGA2-TC000055	chromosome 3L	CM000278.3	10811705	10814545	2841	+	hypothetical protein	3
TcasGA2-TC000056	TcasGA2_TC000056	gnl|WGS:AAJJ|TC000056-PA	crc	cryptocephal, isoform F	TcasGA2-TC000056	chromosome 2L	CM000278.3	10814635	10824965	10331	+	Activating transcription factor of chaperone-like Protein	3
TcasGA2-TC000057	TcasGA2_TC000057	gnl|WGS:AAJJ|TC000057-PA	CG2685	uncharacterized protein Dmel_CG2685	TcasGA2-TC000057	chromosome X	CM000278.3	10827465	10829804	2340	+	hypothetical protein	3
TcasGA2-TC000058	TcasGA2_TC000058	gnl|WGS:AAJJ|TC000058-PA	CG8517	uncharacterized protein Dmel_CG8517	TcasGA2-TC000058	chromosome 2R	CM000278.3	10837740	10838404	665	+	Thioredoxin-1-like Protein	3
TcasGA2-TC000059	TcasGA2_TC000059	gnl|WGS:AAJJ|TC000059-PA	CG8833	uncharacterized protein Dmel_CG8833	TcasGA2-TC000059	chromosome 3L	CM000278.3	10839235	10842325	3091	+	hypothetical protein	3
TcasGA2-TC000060	TcasGA2_TC000060	gnl|WGS:AAJJ|TC000060-PA	CG31381	uncharacterized protein Dmel_CG31381, isoform B	TcasGA2-TC000060	chromosome 3R	CM000278.3	10852650	10856714	4065	+	tRNA dimethylallyltransferase, mitochondrial-like Protein	3
TcasGA2-TC000062	TcasGA2_TC000062	gnl|WGS:AAJJ|TC000062-PA	CG16786	uncharacterized protein Dmel_CG16786, isoform C	TcasGA2-TC000062	chromosome 2R	CM000278.3	10966602	10971832	5231	+	hypothetical protein	3
TcasGA2-TC000063	TcasGA2_TC000063	gnl|WGS:AAJJ|TC000063-PA	Mesh1	metazoan SpoT homolog-1	TcasGA2-TC000063	chromosome 3R	CM000278.3	10980922	10983386	2465	+	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1-like Protein	3
TcasGA2-TC000065	TcasGA2_TC000065	gnl|WGS:AAJJ|TC000065-PA	CG1142	uncharacterized protein Dmel_CG1142	TcasGA2-TC000065	chromosome 3R	CM000278.3	11033107	11035883	2777	+	Deoxynucleotidyltransferase terminal-interacting protein 2-like Protein	3
TcasGA2-TC000066	TcasGA2_TC000066	gnl|WGS:AAJJ|TC000066-PA	CG5359	uncharacterized protein Dmel_CG5359, isoform B	TcasGA2-TC000066	chromosome 3R	CM000278.3	11036107	11039224	3118	+	Tctex1 domain-containing protein 2-like Protein	3
TcasGA2-TC000067	TcasGA2_TC000067	gnl|WGS:AAJJ|TC000067-PA	GstS1	glutathione S transferase S1, isoform B	TcasGA2-TC000067	chromosome 2R	CM000278.3	11094557	11095487	931	+	Glutathione S-transferase S1-like Protein	3
TcasGA2-TC000068	TcasGA2_TC000068	gnl|WGS:AAJJ|TC000068-PA	Dcp-1	death caspase-1	TcasGA2-TC000068	chromosome 2R	CM000278.3	11096467	11099466	3000	+	hypothetical protein	3
TcasGA2-TC000069	TcasGA2_TC000069	gnl|WGS:AAJJ|TC000069-PA	Prosbeta6	proteasome beta6 subunit	TcasGA2-TC000069	chromosome 3L	CM000278.3	11111154	11113293	2140	+	Proteasome subunit beta type-1-like Protein	3
TcasGA2-TC000070	TcasGA2_TC000070	gnl|WGS:AAJJ|TC000070-PA	Pep	protein on ecdysone puffs, isoform B	TcasGA2-TC000070	chromosome 3L	CM000278.3	11115594	11119770	4177	+	hypothetical protein	3
TcasGA2-TC000071	TcasGA2_TC000071	gnl|WGS:AAJJ|TC000071-PA	Zcchc7	zinc finger CCHC-type containing 7	TcasGA2-TC000071	chromosome 3L	CM000278.3	11164844	11185878	21035	+	hypothetical protein	3
TcasGA2-TC000072	TcasGA2_TC000072	gnl|WGS:AAJJ|TC000072-PA	Sfp77F	seminal fluid protein 77F, isoform A	TcasGA2-TC000072	chromosome 3L	CM000278.3	11175274	11175783	510	+	hypothetical protein	3
TcasGA2-TC000074	TcasGA2_TC000074	gnl|WGS:AAJJ|TC000074-PA	Pdi	protein disulfide isomerase, isoform E	TcasGA2-TC000074	chromosome 3L	CM000278.3	11254617	11255033	417	+	Protein disulfide-isomerase-like Protein	3
TcasGA2-TC000075	TcasGA2_TC000075	gnl|WGS:AAJJ|TC000075-PA	glu	gluon	TcasGA2-TC000075	chromosome 2L	CM000278.3	11255758	11265311	9554	+	gluon	3
TcasGA2-TC000076	TcasGA2_TC000076	gnl|WGS:AAJJ|TC000076-PA	CG9492	uncharacterized protein Dmel_CG9492, isoform E	TcasGA2-TC000076	chromosome 3R	CM000278.3	11273328	11311224	37897	+	Dynein heavy chain 5, axonemal-like Protein	3
TcasGA2-TC000077	TcasGA2_TC000077	gnl|WGS:AAJJ|TC000077-PA	CG9492	uncharacterized protein Dmel_CG9492, isoform F	TcasGA2-TC000077	chromosome 3R	CM000278.3	11320108	11332826	12719	+	Dynein heavy chain, cytoplasmic-like Protein	3
TcasGA2-TC000078	TcasGA2_TC000078	gnl|WGS:AAJJ|TC000078-PA	parvin	parvin, isoform B	TcasGA2-TC000078	chromosome X	CM000278.3	11336038	11344065	8028	+	Beta-parvin-like Protein	3
TcasGA2-TC000079	TcasGA2_TC000079	gnl|WGS:AAJJ|TC000079-PA	mRpL27	mitochondrial ribosomal protein L27, isoform B	TcasGA2-TC000079	chromosome 2L	CM000278.3	11345609	11346186	578	+	39S ribosomal protein L27, mitochondrial-like Protein	3
TcasGA2-TC000080	TcasGA2_TC000080	gnl|WGS:AAJJ|TC000080-PA	CG32369	uncharacterized protein Dmel_CG32369, isoform C	TcasGA2-TC000080	chromosome 3L	CM000278.3	11362678	11363534	857	+	hypothetical protein	3
TcasGA2-TC000081	TcasGA2_TC000081	gnl|WGS:AAJJ|TC000081-PA	CG32369	uncharacterized protein Dmel_CG32369, isoform C	TcasGA2-TC000081	chromosome 3L	CM000278.3	11381978	11393199	11222	+	LON peptidase N-terminal domain and RING finger protein 3-like Protein	3
TcasGA2-TC000082	TcasGA2_TC000082	gnl|WGS:AAJJ|TC000082-PA	CG7506	uncharacterized protein Dmel_CG7506	TcasGA2-TC000082	chromosome 3L	CM000278.3	11505338	11506182	845	+	Transmembrane protein 70 homolog, mitochondrial-like Protein	3
TcasGA2-TC000085	TcasGA2_TC000085	gnl|WGS:AAJJ|TC000085-PA	Deaf1	deformed epidermal autoregulatory factor-1, isoform E	TcasGA2-TC000085	chromosome 3L	CM000278.3	11518928	11526470	7543	+	Deformed epidermal autoregulatory factor 1-like Protein	3
TcasGA2-TC000086	TcasGA2_TC000086	gnl|WGS:AAJJ|TC000086-PA	frac	faulty attraction, isoform C	TcasGA2-TC000086	chromosome 3L	CM000278.3	11487326	11503786	16461	-	Fibrillin-1-like Protein	3
TcasGA2-TC000087	TcasGA2_TC000087	gnl|WGS:AAJJ|TC000087-PA	Hn	henna, isoform C	TcasGA2-TC000087	chromosome 3L	CM000278.3	11408154	11418276	10123	-	Protein henna-like Protein	3
TcasGA2-TC000088	TcasGA2_TC000088	gnl|WGS:AAJJ|TC000088-PA	Clk	clock, isoform A	TcasGA2-TC000088	chromosome 3L	CM000278.3	11394060	11408814	14755	-	clock	3
TcasGA2-TC000089	TcasGA2_TC000089	gnl|WGS:AAJJ|TC000089-PA	CG11409	uncharacterized protein Dmel_CG11409, isoform C	TcasGA2-TC000089	chromosome X	CM000278.3	11372991	11373616	626	-	hypothetical protein	3
TcasGA2-TC000090	TcasGA2_TC000090	gnl|WGS:AAJJ|TC000090-PA	CG17233	uncharacterized protein Dmel_CG17233, isoform F	TcasGA2-TC000090	chromosome 3L	CM000278.3	11356913	11357956	1044	-	hypothetical protein	3
TcasGA2-TC000091	TcasGA2_TC000091	gnl|WGS:AAJJ|TC000091-PA	Gk1	glycerol kinase 1, isoform A	TcasGA2-TC000091	chromosome 3L	CM000278.3	11347575	11352786	5212	-	Putative glycerol kinase 3-like Protein	3
TcasGA2-TC000092	TcasGA2_TC000092	gnl|WGS:AAJJ|TC000092-PA	Tsen34	tRNA splicing endonuclease subunit 34	TcasGA2-TC000092	chromosome 3L	CM000278.3	11345742	11347216	1475	-	putative tRNA-splicing endonuclease subunit sen34-like Protein	3
TcasGA2-TC000093	TcasGA2_TC000093	gnl|WGS:AAJJ|TC000093-PA	CG11563	uncharacterized protein Dmel_CG11563	TcasGA2-TC000093	chromosome 3R	CM000278.3	11344069	11345686	1618	-	Nucleolar protein 16-like Protein	3
TcasGA2-TC000094	TcasGA2_TC000094	gnl|WGS:AAJJ|TC000094-PA	EMC3	ER membrane protein complex subunit 3	TcasGA2-TC000094	chromosome 2L	CM000278.3	11336743	11337757	1015	-	ER membrane protein complex subunit 3-like Protein	3
TcasGA2-TC000095	TcasGA2_TC000095	gnl|WGS:AAJJ|TC000095-PA	tex	tex	TcasGA2-TC000095	chromosome 3R	CM000278.3	11333952	11335906	1955	-	F-box-like/WD repeat-containing protein ebi	3
TcasGA2-TC000096	TcasGA2_TC000096	gnl|WGS:AAJJ|TC000096-PA	CG34188	uncharacterized protein Dmel_CG34188	TcasGA2-TC000096	chromosome 2R	CM000278.3	11333157	11333294	138	-	hypothetical protein	3
TcasGA2-TC000097	TcasGA2_TC000097	gnl|WGS:AAJJ|TC000097-PA	CG42346	uncharacterized protein Dmel_CG42346, isoform D	TcasGA2-TC000097	chromosome X	CM000278.3	11313242	11316226	2985	-	Chaoptin-like Protein	3
TcasGA2-TC000098	TcasGA2_TC000098	gnl|WGS:AAJJ|TC000098-PA	Pfdn6	prefoldin 6, isoform B	TcasGA2-TC000098	chromosome 3L	CM000278.3	11254592	11255666	1075	-	putative prefoldin subunit 6-like Protein	3
TcasGA2-TC000100	TcasGA2_TC000100	gnl|WGS:AAJJ|TC000100-PA	fax	failed axon connections, isoform C	TcasGA2-TC000100	chromosome 3L	CM000278.3	11211007	11240056	29050	-	Failed axon connections-like Protein	3
TcasGA2-TC000101	TcasGA2_TC000101	gnl|WGS:AAJJ|TC000101-PA	CG1764	uncharacterized protein Dmel_CG1764, isoform B	TcasGA2-TC000101	chromosome X	CM000278.3	11195909	11207916	12008	-	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1-like Protein	3
TcasGA2-TC000102	TcasGA2_TC000102	gnl|WGS:AAJJ|TC000102-PA	sesB	stress-sensitive B, isoform C	TcasGA2-TC000102	chromosome X	CM000278.3	11188901	11193326	4426	-	ADP,ATP carrier protein-like Protein	3
TcasGA2-TC000103	TcasGA2_TC000103	gnl|WGS:AAJJ|TC000103-PA	Pp2B-14D	protein phosphatase 2B at 14D, isoform C	TcasGA2-TC000103	chromosome X	CM000278.3	11124837	11185634	60798	-	Serine/threonine-protein phosphatase 2B catalytic subunit 2-like Protein	3
TcasGA2-TC000104	TcasGA2_TC000104	gnl|WGS:AAJJ|TC000104-PA	mbf1	multiprotein bridging factor 1, isoform D	TcasGA2-TC000104	chromosome 3L	CM000278.3	11112168	11115482	3315	-	Endothelial differentiation-related factor 1-like Protein	3
TcasGA2-TC000105	TcasGA2_TC000105	gnl|WGS:AAJJ|TC000105-PA	Decay	death executioner caspase related to Apopain/Yama	TcasGA2-TC000105	chromosome 3R	CM000278.3	11106762	11109223	2462	-	Caspase-like Protein	3
TcasGA2-TC000107	TcasGA2_TC000107	gnl|WGS:AAJJ|TC000107-PA	CG30427	uncharacterized protein Dmel_CG30427, isoform G	TcasGA2-TC000107	chromosome 2R	CM000278.3	11083300	11092955	9656	-	Putative fatty acyl-CoA reductase CG5065-like Protein	3
TcasGA2-TC000108	TcasGA2_TC000108	gnl|WGS:AAJJ|TC000108-PA	fry	furry, isoform E	TcasGA2-TC000108	chromosome 3L	CM000278.3	11052823	11081865	29043	-	Protein furry homolog-like	3
TcasGA2-TC000109	TcasGA2_TC000109	gnl|WGS:AAJJ|TC000109-PA	Dbp73D	dead box protein 73D	TcasGA2-TC000109	chromosome 3L	CM000278.3	11050600	11052505	1906	-	putative ATP-dependent RNA helicase Dbp73D-like Protein	3
TcasGA2-TC000110	TcasGA2_TC000110	gnl|WGS:AAJJ|TC000110-PA	lds	lodestar	TcasGA2-TC000110	chromosome 3R	CM000278.3	11042552	11050355	7804	-	Transcription termination factor 2-like Protein	3
TcasGA2-TC000111	TcasGA2_TC000111	gnl|WGS:AAJJ|TC000111-PA	CG15120	uncharacterized protein Dmel_CG15120	TcasGA2-TC000111	chromosome 2R	CM000278.3	11039231	11040185	955	-	Parkin coregulated gene protein homolog-like Protein	3
TcasGA2-TC000112	TcasGA2_TC000112	gnl|WGS:AAJJ|TC000112-PA	CG3225	uncharacterized protein Dmel_CG3225	TcasGA2-TC000112	chromosome 2L	CM000278.3	11017689	11034157	16469	-	Dosage compensation regulator-like Protein	3
TcasGA2-TC000113	TcasGA2_TC000113	gnl|WGS:AAJJ|TC000113-PA	CG11141	uncharacterized protein Dmel_CG11141, isoform C	TcasGA2-TC000113	chromosome 2R	CM000278.3	10983996	10988560	4565	-	WD repeat-containing protein CG11141-like Protein	3
TcasGA2-TC000114	TcasGA2_TC000114	gnl|WGS:AAJJ|TC000114-PA	CG12299	uncharacterized protein Dmel_CG12299	TcasGA2-TC000114	chromosome 2L	CM000278.3	10977619	10980830	3212	-	Zinc finger protein 585B-like Protein	3
TcasGA2-TC000115	TcasGA2_TC000115	gnl|WGS:AAJJ|TC000115-PA	MBD-R2	MBD-R2	TcasGA2-TC000115	chromosome 3R	CM000278.3	10973367	10977570	4204	-	hypothetical protein	3
TcasGA2-TC000116	TcasGA2_TC000116	gnl|WGS:AAJJ|TC000116-PA	CG8854	uncharacterized protein Dmel_CG8854, isoform C	TcasGA2-TC000116	chromosome 2R	CM000278.3	10958612	10960329	1718	-	hypothetical protein	3
TcasGA2-TC000117	TcasGA2_TC000117	gnl|WGS:AAJJ|TC000117-PA	CG17712	uncharacterized protein Dmel_CG17712	TcasGA2-TC000117	chromosome 2L	CM000278.3	10955153	10957649	2497	-	Glucose-fructose oxidoreductase domain-containing protein 2-like Protein	3
TcasGA2-TC000118	TcasGA2_TC000118	gnl|WGS:AAJJ|TC000118-PA	Rh3	rhodopsin 3	TcasGA2-TC000118	chromosome 3R	CM000278.3	10950372	10954469	4098	-	Opsin Rh3-like Protein	3
TcasGA2-TC000119	TcasGA2_TC000119	gnl|WGS:AAJJ|TC000119-PA	Dhc16F	dynein heavy chain at 16F	TcasGA2-TC000119	chromosome X	CM000278.3	10911915	10950309	38395	-	Dynein heavy chain, cytoplasmic-like Protein	3
TcasGA2-TC000121	TcasGA2_TC000121	gnl|WGS:AAJJ|TC000121-PA	Tret1-2	trehalose transporter 1-2	TcasGA2-TC000121	chromosome 2R	CM000278.3	10894700	10899479	4780	-	Facilitated trehalose transporter Tret1-2 homolog-like Protein	3
TcasGA2-TC000124	TcasGA2_TC000124	gnl|WGS:AAJJ|TC000124-PA	Strump	strumpellin, isoform B	TcasGA2-TC000124	chromosome 3L	CM000278.3	10842521	10852433	9913	-	WASH complex subunit strumpellin homolog-like Protein	3
TcasGA2-TC000125	TcasGA2_TC000125	gnl|WGS:AAJJ|TC000125-PA	CG8243	uncharacterized protein Dmel_CG8243	TcasGA2-TC000125	chromosome 2R	CM000278.3	10829809	10837623	7815	-	Arf-GAP with dual PH domain-containing protein 1-like Protein	3
TcasGA2-TC000126	TcasGA2_TC000126	gnl|WGS:AAJJ|TC000126-PA	CG11539	uncharacterized protein Dmel_CG11539, isoform B	TcasGA2-TC000126	chromosome 3R	CM000278.3	10826270	10827293	1024	-	N-acetyltransferase 9-like protein	3
TcasGA2-TC000127	TcasGA2_TC000127	gnl|WGS:AAJJ|TC000127-PA	CG7339	uncharacterized protein Dmel_CG7339, isoform B	TcasGA2-TC000127	chromosome 3L	CM000278.3	10800229	10801083	855	-	DNA-directed RNA polymerase III subunit RPC8-like Protein	3
TcasGA2-TC000128	TcasGA2_TC000128	gnl|WGS:AAJJ|TC000128-PA	CG10947	uncharacterized protein Dmel_CG10947, isoform D	TcasGA2-TC000128	chromosome 2L	CM000278.3	10792783	10793293	511	-	hypothetical protein	3
TcasGA2-TC000129	TcasGA2_TC000129	gnl|WGS:AAJJ|TC000129-PA	Meics	meiotic central spindle, isoform B	TcasGA2-TC000129	chromosome 3L	CM000278.3	10783015	10785323	2309	-	Zinc finger protein 142-like Protein	3
TcasGA2-TC000130	TcasGA2_TC000130	gnl|WGS:AAJJ|TC000130-PA	Dnai2	dynein, axonemal, intermediate chain 2, isoform C	TcasGA2-TC000130	chromosome 3L	CM000278.3	10774301	10782173	7873	-	Cytoplasmic dynein 1 intermediate chain-like Protein	3
TcasGA2-TC000131	TcasGA2_TC000131	gnl|WGS:AAJJ|TC000131-PA	CG12012	uncharacterized protein Dmel_CG12012, isoform C	TcasGA2-TC000131	chromosome 3L	CM000278.3	10773299	10774133	835	-	Brain protein I3-like Protein	3
TcasGA2-TC000132	TcasGA2_TC000132	gnl|WGS:AAJJ|TC000132-PA	Nak	Numb-associated kinase, isoform A	TcasGA2-TC000132	chromosome 2L	CM000278.3	10755307	10766623	11317	-	AP2-associated protein kinase 1-like Protein	3
